,start_node,relation,end_node
0,Manufacturing_employment,subClassOf,Green_Indicators
1,Frameworks_for_gender,subClassOf,Green_Indicators
2,has_Inclusive_decision_making,domain,Peace_Justice_and_Strong_Institutions
3,Financial_services_access,subClassOf,Green_Indicators
4,has_Science_tech_cooperation,domain,Partnerships_for_The_Goals
5,Inclusive_decision_making,subClassOf,Red_Indicators
6,Fossil_fuel_subsidies,subClassOf,Red_Indicators
7,Developing_nation_exports,label,Developing_nation_exports
8,has_Debt_service,domain,Partnerships_for_The_Goals
9,has_Suicide_mortality,range,Suicide_mortality
10,has_Poverty_reduction_prog,range,Poverty_reduction_prog
11,Safe_city_spaces,type,Class
12,Statistical_legislation,label,Statistical_legislation
13,Child_labour,subClassOf,Yellow_Indicators
14,Fish_stocks_levels,type,Class
15,has_Unemployment_rate,label,Unemployment_rate
16,National_results_framework,subClassOf,Red_Indicators
17,Cultural_heritage,type,Class
18,has_Integration_climate_policies,label,Integration_climate_policies
19,has_Tuberculosis_incidence,type,ObjectProperty
20,Corporate_sust_reports,subClassOf,Red_Indicators
21,has_Marine_protected_areas,domain,Life_Below_Water
22,Youth_education_or_training,label,Youth_education_or_training
23,Integrated__risk_Mgmt,label,Integrated _risk_Mgmt
24,Healthcare_coverage,label,Healthcare_coverage
25,has_Urban_slum_population,type,ObjectProperty
26,has_Domestic_taxes,label,Domestic_taxes
27,has_Mountain_biodiversity,domain,Life_On_Land
28,Public_service_satisfaction,label,Public_service_satisfaction
29,has_Seized_or_surrendered_arms,domain,Peace_Justice_and_Strong_Institutions
30,Conflict_related_deaths,label,Conflict_related_deaths
31,Tuberculosis_incidence,subClassOf,Green_Indicators
32,Gender_Equality,type,Class
33,Aid_for_Trade,subClassOf,Green_Indicators
34,has_Forest_management,domain,Life_On_Land
35,Road_traffic_injuries,label,Road_traffic_injuries
36,has_Extreme_poverty,domain,No_Poverty
37,Urban_planning,type,Class
38,Institutional_representation,subClassOf,Red_Indicators
39,Manufacturing_employment,type,Class
40,has_Research_for_marine_tech,domain,Life_Below_Water
41,has_Financial_services_access,type,ObjectProperty
