,relation,start_node,end_node
0,RelatedTo,augmented_assignment,variable
1,RelatedTo,augmented_fifth,diatonic_scale
2,RelatedTo,augmented_fifth,enharmonically
3,RelatedTo,augmented_fifth,minor_sixth
4,RelatedTo,augmented_fifth,musical_interval
5,RelatedTo,augmented_fifth,perfect_fifth
6,RelatedTo,augmented_fifth,semitone
7,RelatedTo,augmented_fifth,western
8,RelatedTo,augmented_fourth,dissonance
9,RelatedTo,augmented_fourth,musical_interval
10,RelatedTo,augmented_fourth,tritone
11,RelatedTo,augmented_fourth,augmented_fifth
12,RelatedTo,augmented_fourth,composition
13,RelatedTo,augmented_fourth,diatonic_scale
14,RelatedTo,augmented_fourth,diminished_fifth
15,RelatedTo,augmented_fourth,diminished_fourth
16,RelatedTo,augmented_fourth,extension
17,RelatedTo,augmented_fourth,musical
18,RelatedTo,augmented_fourth,perfect_fourth
19,RelatedTo,augmented_fourth,semitone
20,RelatedTo,augmented_fourth,tritone
21,RelatedTo,augmented_interval,half_step
22,RelatedTo,augmented_interval,major_interval
23,RelatedTo,augmented_interval,perfect_interval
24,RelatedTo,augmented_ninth,augmented_second
25,RelatedTo,augmented_ninth,interval
26,RelatedTo,augmented_ninth,octave
27,RelatedTo,augmented_octave,compound_minor_second
28,RelatedTo,augmented_octave,diatonic_scale
29,RelatedTo,augmented_octave,enharmonically
30,RelatedTo,augmented_octave,minor_ninth
31,RelatedTo,augmented_octave,musical_interval
32,RelatedTo,augmented_octave,perfect_octave
33,RelatedTo,augmented_octave,semitone
34,RelatedTo,augmented_octave,western
35,RelatedTo,augmented_reality,head_up_display
36,RelatedTo,augmented_reality,digital
37,RelatedTo,augmented_reality,environment
38,RelatedTo,augmented_reality,image
39,RelatedTo,augmented_reality,merging
40,RelatedTo,augmented_reality,real_time
41,RelatedTo,augmented_reality,view
42,RelatedTo,augmented_second,half_step
43,RelatedTo,augmented_second,interval
44,RelatedTo,augmented_seventh,interval
45,RelatedTo,augmented_seventh,octave
46,RelatedTo,augmented_sixth,interval
47,RelatedTo,augmented_sixth,minor_seventh
48,RelatedTo,augmented_sixth_chord,chord
49,RelatedTo,augmented_sixth_chord,scale_degree
50,RelatedTo,augmented_sixth_chord,subdominant
51,RelatedTo,augmented_sixth_chord,submediant
52,RelatedTo,augmented_sphenocorona,johnson_solid
53,RelatedTo,augmented_sphenocorona,sphenocorona
54,RelatedTo,augmented_third,interval
55,RelatedTo,augmented_third,perfect_fourth
56,RelatedTo,augmented_triad,augmented_fifth
57,RelatedTo,augmented_triad,triad
58,RelatedTo,augmented_unison,half_step
59,RelatedTo,augmented_unison,interval
60,RelatedTo,augmentee,assign
61,RelatedTo,augmentee,shortage
62,RelatedTo,augmentee,skill
63,RelatedTo,augmentee,staff
64,RelatedTo,augmentee,unit
65,RelatedTo,augmenter,augment
66,RelatedTo,augmenter,increase
67,RelatedTo,augmentin,amoxicillin
68,RelatedTo,augmentin,antibiotic
69,RelatedTo,augmenting,augment
70,RelatedTo,augmentless,augment
71,RelatedTo,augur,diviner
72,RelatedTo,augur,foretell
73,RelatedTo,augur,official
74,RelatedTo,augur,omen
75,RelatedTo,augur,foretell
76,RelatedTo,augural,prophetic
77,RelatedTo,augurate,augur
78,RelatedTo,auguration,augury
79,RelatedTo,augured,augur
80,RelatedTo,augurer,augur
81,RelatedTo,augurers,augurer
82,RelatedTo,augurial,augur
83,RelatedTo,augurial,augury
84,RelatedTo,auguries,augury
85,RelatedTo,auguring,augur
86,RelatedTo,augurist,augur
87,RelatedTo,augurous,augury
88,RelatedTo,augurous,foreboding
89,RelatedTo,augurs,augur
90,RelatedTo,augurship,augur
91,RelatedTo,augurship,rome
92,RelatedTo,augury,appearance
93,RelatedTo,augury,augur
94,RelatedTo,augury,behaviour
95,RelatedTo,augury,divination
96,RelatedTo,augury,foreboding
97,RelatedTo,augury,omen
98,RelatedTo,augury,prediction
99,RelatedTo,augury,prophecy
100,RelatedTo,august,augustine
101,RelatedTo,august,augustinian
102,RelatedTo,august,awe_inspiring
103,RelatedTo,august,birth
104,RelatedTo,august,majestic
105,RelatedTo,august,noble
106,RelatedTo,august,venerable
107,RelatedTo,august,augustal
108,RelatedTo,august,augustan
109,RelatedTo,august,augustean
110,RelatedTo,august,augusteity
111,RelatedTo,august,augustin
112,RelatedTo,august,augustinian
