subject,predicated,object
Nd5f024d488114f5f9492e0469195152f,type,Restriction
Manufacturing_employment,subClassOf,Green_Indicators
Frameworks_for_gender,subClassOf,Green_Indicators
Zero_Hunger,subClassOf,Nf63622207036429dbf160093085f6979
N6ab7d2e40a0e4607b8966acc4669489a,onProperty,has_Child_wasting_or_obesity
N69665175c83445f8a306afe47fdd8089,cardinality,1
has_Inclusive_decision_making,domain,Peace_Justice_and_Strong_Institutions
N7f38948d67d14b20b45e2bdcb39945bc,cardinality,1
Financial_services_access,subClassOf,Green_Indicators
has_Science_tech_cooperation,domain,Partnerships_for_The_Goals
Life_On_Land,subClassOf,N27edecba17ac4d08aac3130b674d83fd
Partnerships_for_The_Goals,subClassOf,N1c9eb92f75f440308d5e35deb5d3b5fb
Clean_Water_and_Sanitation,subClassOf,Nff2ef4df5d424c65aa8c3d13567020bc
Inclusive_decision_making,subClassOf,Red_Indicators
N696d652e953546269d30096cf3021ae6,cardinality,1
N3e34d3a691084a2787a89d50ab12a6de,onProperty,has_Youth_employment_strategy
Fossil_fuel_subsidies,subClassOf,Red_Indicators
Developing_nation_exports,label,Developing_nation_exports
has_Debt_service,domain,Partnerships_for_The_Goals
has_Suicide_mortality,range,Suicide_mortality
N1116c9b7363e489b90f1fac41ae1e6e7,type,Restriction
N891abd115e424d4ab64e8f76fccf3ff9,onClass,edu_for_sust_development
has_Poverty_reduction_prog,range,Poverty_reduction_prog
N570151a4c9e24d188eb0e1d6b32c0c7d,type,Restriction
Safe_city_spaces,type,Class
N9eecc5b5aed14bc59526b3339380ba1e,onProperty,has_Child_mortality
Ne61bbdc171ed4750888b93fde74379b5,onProperty,has_Renewable_energy
Statistical_legislation,label,Statistical_legislation
N1c2f09b51fb1424e9421143b9859ee86,type,Restriction
Na9462ecc1fdc4710afd2e5a68f96ea1c,onProperty,has_Sexual_health_access
N3e34d3a691084a2787a89d50ab12a6de,onClass,Youth_employment_strategy
Child_labour,subClassOf,Yellow_Indicators
Ncf640b7375614150884e9ea787cb8406,cardinality,1
Fish_stocks_levels,type,Class
N9bb6a744af874674b5240ef943ac0396,onClass,Youth_education_or_training
Life_On_Land,subClassOf,N77e5db875f2e4a1b8ae79a917fdedaef
has_Unemployment_rate,label,Unemployment_rate
National_results_framework,subClassOf,Red_Indicators
Cultural_heritage,type,Class
has_Integration_climate_policies,label,Integration_climate_policies
Ncb6010ece10e42e1b73fb076fe98e41b,cardinality,1
No_Poverty,subClassOf,Nad151b183a414434aefa9ed838ba397c
Ne5140fee9b20408b94f543fc85ffde0d,onProperty,has_Mountain_biodiversity
N4b778f17d8834f4ba99430eee95b9845,cardinality,1
has_Tuberculosis_incidence,type,ObjectProperty
Decent_Work_and_Economic_Growth,subClassOf,N0ead90e990404480b2af87413e4b619e
N704688f0e7cf4944a6615f9d390eb936,type,Restriction
Ne6f423be8797441b93a251a9a60d7026,onClass,Pre_primary_participation
Corporate_sust_reports,subClassOf,Red_Indicators
has_Marine_protected_areas,domain,Life_Below_Water
Ne8102076348849dc97fb759c3f4a9b19,type,Restriction
N46da9eb40fc84700bb122386b9e86b25,onProperty,has_National_statistical_plans
N6ed2ebd1fa3842e6b1cf2ef1dedad847,type,Restriction
Youth_education_or_training,label,Youth_education_or_training
Integrated__risk_Mgmt,label,Integrated _risk_Mgmt
Healthcare_coverage,label,Healthcare_coverage
Life_On_Land,subClassOf,N7fb32d2e20df49469e2124f8c9259d16
Nb63c37f5d1e04dd1be2f56fc219c9946,onClass,Cultural_heritage
N7b1f62c58c4043be9064cf3e6600a0dd,cardinality,1
N5ec6fbfa4bed457197194724d966a441,cardinality,1
N7b03f9d53afb4a9cbe00f816590a0d08,cardinality,1
has_Urban_slum_population,type,ObjectProperty
has_Domestic_taxes,label,Domestic_taxes
has_Mountain_biodiversity,domain,Life_On_Land
N1482e5172bb34b4b848e923573f7f039,type,Restriction
N2b69c1d1f5a04f26ae6ea75ff9216d73,onProperty,has_Urban_planning
Public_service_satisfaction,label,Public_service_satisfaction
Nade67e07d1f447f289a87a25e9269517,type,Restriction
Nfebdc4e4fe114f4fa18652e00a299836,onClass,Small_scale_industry_value
Nd21cda2040704cfb9e77fcfb9c03de0d,type,Restriction
has_Seized_or_surrendered_arms,domain,Peace_Justice_and_Strong_Institutions
Conflict_related_deaths,label,Conflict_related_deaths
Tuberculosis_incidence,subClassOf,Green_Indicators
Partnerships_for_The_Goals,subClassOf,N9d60bb1c5bd340bb87250306e32f8e07
Gender_Equality,type,Class
Nf9856d65f4b54245ad9c2bfe11f913d8,cardinality,1
N18931c9696084cbea781d3df6c1639f3,onProperty,has_Remittance_costs
